,cardinality,bytes transmitted,bytes received
0,348,2931,8246
1,173,1947,8246
2,164,2043,8246
3,477,3779,8246
4,103,1091,8246
5,137,1707,8246
6,34,1363,8246
7,255,2475,8246
8,320,1131,8246
9,240,3147,8246
10,334,2523,8246
11,251,1475,8246
12,206,1827,8246
13,161,2523,8246
14,85,2523,8246
15,108,371,8246
16,94,1179,8246
17,125,1251,8246
18,233,1795,8246
19,204,3363,8246
20,204,1635,8246
21,181,2019,8246
22,441,3059,8246
23,324,1755,8246
24,323,2171,8246
25,310,1979,8246
26,436,3227,8246
27,258,1059,8246
28,263,2443,8246
29,241,667,8246
30,325,3291,8246
31,189,2219,8246
32,264,2451,8246
33,225,843,8246
34,211,1195,8246
35,124,2659,8246
36,304,2867,8245
37,235,3355,8246
38,207,2059,8246
39,284,2627,8246
40,116,1411,8246
41,248,1027,8246
42,361,8246,2691
43,469,2755,8246
44,66,787,8246
45,357,3067,8246
46,403,2299,8246
47,223,1203,8246
48,341,2067,8246
49,326,2675,8246
50,223,2947,8246
51,211,2987,8246
52,355,2963,8246
53,173,3171,8246
54,208,2011,8246
55,290,2163,8246
56,239,2035,8246
57,229,2731,8246
58,219,2131,8246
59,255,3459,8246
60,339,1195,8246
61,295,1363,8246
62,172,595,8246
63,281,3459,8246
64,138,2459,8246
65,284,3547,8246
66,250,2355,8246
67,423,2123,8246
68,44,475,8246
69,202,2147,8246
70,252,2859,8246
71,109,1347,8246
72,307,1859,8246
73,316,2683,8246
74,242,683,8246
75,268,2979,8246
76,217,1923,8246
77,233,2875,8246
78,334,1795,8246
79,285,1331,8246
80,282,1803,8246
81,274,1947,8246
82,42,1363,8246
83,111,1107,8246
84,448,3659,8246
85,301,2331,8246
86,394,2291,8246
87,48,2131,8246
88,54,483,8246
89,125,803,8246
90,341,3203,8246
91,182,1571,8246
92,462,3027,8246
93,313,1027,8246
94,352,1875,8246
95,239,1403,8246
96,173,603,8246
97,404,3939,8246
98,259,2819,8246
99,486,2203,8246
